Student,Points, Report Points
b08901136,85,15
r10943170,0,0
b08901105,85,15
b06507027,80,15
b06901079,85,15
b07505026,85,15
b07901012,85,15
b07901020,80,15
b07901047,85,15
b07901048,69,15
b07901054,0,15
b07901056,85,15
b07901063,85,15
b07901067,85,15
b07901075,80,15
b07901078,80,15
b07901103,80,15
b07901135,85,15
b07901174,0,0
b06705059,85,15
r10921096,85,15
r10921104,80,15
d10943013,85,15
r09943182,85,15
r09943186,80,15
r10943089,85,15
r10943090,85,15
r10943092,85,15
r10943093,85,15
r10943095,85,15
r10943096,85,15
r10943098,85,15
r10943099,85,15
r10943100,85,15
r10943101,85,15
r10943102,85,15
r10943107,80,15
r10943109,85,15
r10943144,5,15
r10943146,85,15
r10943147,57,15
r10943153,80,15
r10943160,85,15
r10943171,5,15
r08943149,13,15
r08943064,8,15
r05943167,0,0
